"SampleID","Enzyme","Template","Amplicon","AA","AC","AT","AG","CA","CC","CT","CG","TA","TC","TT","TG","GA","GC","GT","GG","Deletion","Insertion","D1","DX","I1","IX","Total","ErrorSub","ErrorDelSingle","ErrorInsSingle","RateSub","RateDelSingle","RateInsSingle","RateSubSingleFraction","RateDelSingleFraction","RateInsSingleFraction","RateTotal"
1,"ProtoScript II Reverse Transcriptase","Regular","DNA-1",3445089,39,20,225,16,3192696,97,17,99,129,3387710,2,19,3,9,3177880,65,6,49,8,6,0,13204050,675,57,6,5.11206788826156e-05,4.31685732786531e-06,4.54406034512138e-07,0.914634146341463,0.0772357723577236,0.00813008130081301,5.5891942244993e-05
2,"ProtoScript II Reverse Transcriptase","Regular","DNA-2",2583564,37,25,220,41,2532276,106,29,76,114,2608763,7,26,5,8,2489626,61,8,45,7,4,2,10214923,694,52,6,6.79398170695951e-05,5.09059148071894e-06,5.87375940082955e-07,0.922872340425532,0.0691489361702128,0.00797872340425532,7.3617784490397e-05
3,"ProtoScript II Reverse Transcriptase","Regular","DNA-3",841621,8,4,63,17,836615,23,9,21,28,845496,4,5,1,4,837788,13,16,13,0,16,0,3361707,187,13,16,5.56265016552603e-05,3.8670830027721e-06,4.75948677264259e-06,0.865740740740741,0.0601851851851852,0.0740740740740741,6.4253071430675e-05
4,"ProtoScript II Reverse Transcriptase","Regular","DNA-4",1066572,14,9,83,6,994520,31,15,21,60,1038743,0,9,0,2,988674,14,11,14,0,8,1,4088759,250,14,9,6.11432466428078e-05,3.42402181199723e-06,2.20115687914108e-06,0.915750915750916,0.0512820512820513,0.032967032967033,6.67684253339461e-05
5,"ProtoScript II Reverse Transcriptase","N6mA","DNA-1",4056519,59,30,289,16,3770711,126,9,101,171,3987383,2,26,4,13,3753480,78,8,72,3,8,0,15568939,846,75,8,5.43389629826413e-05,4.81728395236182e-06,5.1384362158526e-07,0.910656620021528,0.0807319698600646,0.00861141011840689,5.96700905565883e-05
6,"ProtoScript II Reverse Transcriptase","N6mA","DNA-2",1580499,25,16,132,16,1522320,55,29,45,59,1600750,0,16,2,3,1490874,25,4,25,0,4,0,6194841,398,25,4,6.42470081153011e-05,4.03561608764454e-06,6.45698574023127e-07,0.932084309133489,0.0585480093676815,0.00936768149882904,6.89283227769688e-05
7,"ProtoScript II Reverse Transcriptase","N6mA","DNA-3",707531,7,2,54,6,699905,24,6,17,25,710870,1,3,0,1,701214,7,11,7,0,11,0,2819666,146,7,11,5.17791823570593e-05,2.48256353766723e-06,3.90117127347707e-06,0.890243902439024,0.0426829268292683,0.0670731707317073,5.81629171682036e-05
8,"ProtoScript II Reverse Transcriptase","N6mA","DNA-4",999236,8,6,81,9,932771,30,12,30,43,974009,0,7,0,0,926876,23,6,17,3,6,0,3833118,226,20,6,5.89598337437042e-05,5.21768440209772e-06,1.56530532062932e-06,0.896825396825397,0.0793650793650794,0.0238095238095238,6.57428234664312e-05
9,"ProtoScript II Reverse Transcriptase","P-U","DNA-1",3165564,31,30,197,15,2807101,96,8,78,116,3119180,3,26,7,8,2803911,28,5,26,1,5,0,11896371,615,27,5,5.1696437510229e-05,2.26959969557103e-06,4.20296239920561e-07,0.950540958268933,0.0417310664605873,0.00772797527047913,5.43863334457205e-05
10,"ProtoScript II Reverse Transcriptase","P-U","DNA-2",2138180,25,31,150,20,2097861,65,35,53,93,2160358,9,19,6,8,2062189,94,7,51,2,4,1,8459102,514,53,5,6.07629509609885e-05,6.26544046874006e-06,5.9107928950378e-07,0.898601398601399,0.0926573426573427,0.00874125874125874,6.76194707192324e-05
11,"ProtoScript II Reverse Transcriptase","P-U","DNA-3",647278,9,4,40,4,639731,11,3,20,19,650066,1,5,1,0,640568,12,18,8,2,9,3,2577760,117,10,12,4.53882440568556e-05,3.87933709887654e-06,4.65520451865185e-06,0.841726618705036,0.0719424460431655,0.0863309352517986,5.3922785674384e-05
12,"ProtoScript II Reverse Transcriptase","P-U","DNA-4",713053,6,9,41,4,648075,14,7,20,30,695573,0,2,1,3,645141,8,3,6,1,3,0,2701979,137,7,3,5.07035768967857e-05,2.59069371005474e-06,1.11029730430917e-06,0.931972789115646,0.0476190476190476,0.0204081632653061,5.44045679111496e-05
13,"ProtoScript II Reverse Transcriptase","5mC","DNA-1",2953026,34,26,172,12,2578350,89,8,65,110,2911313,1,22,5,9,2579488,45,6,29,6,6,0,11022730,553,35,6,5.01690597519852e-05,3.17525694632818e-06,5.44329762227688e-07,0.930976430976431,0.0589225589225589,0.0101010101010101,5.38886464605411e-05
14,"ProtoScript II Reverse Transcriptase","5mC","DNA-2",2173081,32,16,165,45,2111482,78,34,72,93,2193332,3,29,3,9,2075378,49,14,45,2,9,2,8553852,579,47,11,6.7688802658732e-05,5.49460056124422e-06,1.28597034412099e-06,0.90894819466248,0.0737833594976452,0.0172684458398744,7.44693735640972e-05
15,"ProtoScript II Reverse Transcriptase","5mC","DNA-3",800597,12,7,45,8,797539,21,9,21,19,803987,1,9,1,2,798213,10,10,10,0,8,1,3200491,155,10,9,4.84300690112861e-05,3.1245205813733e-06,2.81206852323597e-06,0.890804597701149,0.0574712643678161,0.0517241379310345,5.43666581158953e-05
16,"ProtoScript II Reverse Transcriptase","5mC","DNA-4",789869,19,8,52,6,725826,18,13,23,25,770235,0,5,0,2,721614,7,1,7,0,1,0,3007715,171,7,1,5.68537910008096e-05,2.32734816962378e-06,3.32478309946255e-07,0.955307262569832,0.0391061452513966,0.00558659217877095,5.95136174803796e-05
17,"ProtoScript II Reverse Transcriptase","5mU","DNA-1",2720051,24,19,177,9,2373043,74,12,71,98,2682522,2,8,3,7,2373788,49,8,21,2,6,1,10149908,504,23,7,4.96556224943123e-05,2.26603039160552e-06,6.89661423532115e-07,0.943820224719101,0.0430711610486891,0.0131086142322097,5.26113143094499e-05
18,"ProtoScript II Reverse Transcriptase","5mU","DNA-2",1800019,35,22,135,40,1750509,72,46,69,105,1815482,9,39,11,8,1720438,73,11,43,2,8,1,7087039,591,45,9,8.33916675215136e-05,6.34961935442997e-06,1.26992387088599e-06,0.916279069767442,0.0697674418604651,0.013953488372093,9.10112107468295e-05
19,"ProtoScript II Reverse Transcriptase","5mU","DNA-3",189794,2,1,13,3,186946,6,3,6,5,190671,0,0,0,0,187394,4,3,4,0,3,0,754844,39,4,3,5.16663045609424e-05,5.29910816009666e-06,3.97433112007249e-06,0.847826086956522,0.0869565217391304,0.0652173913043478,6.09397438411115e-05
